사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
202101,관악02,관악02(낙성대역~서울대신공학관),120900110,21771,낙성대입구,0,0,0,0,0,0,0,0,0,0,0,0,0,35,13,66,28,126,9,199,5,159,1,276,7,410,4,422,5,437,5,558,4,599,5,921,10,1270,7,657,17,265,3,311,2,323,0,229,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역,0,0,0,0,0,0,0,0,0,0,44,23,554,602,1674,1188,5345,2255,4457,2030,3406,1745,2077,2086,2607,2694,2289,2665,1728,3204,1592,3740,1488,4776,1778,6211,2099,7388,1869,3446,1821,2169,1906,2131,876,1455,466,778,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역,0,0,0,0,0,0,0,0,0,0,515,313,1114,379,1842,72,3831,54,3848,11,2544,24,1864,33,1654,33,1448,18,1417,21,1222,24,1058,15,995,12,1303,65,1279,36,1340,13,1900,9,923,6,401,11,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900131,21844,낙성대현대아파트,0,0,0,0,0,0,0,0,0,0,0,0,21,22,45,29,295,163,240,61,181,76,78,40,128,47,65,37,48,31,41,45,40,42,31,72,55,65,14,55,13,38,13,59,3,16,3,12,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900136,21858,낙성대공원.영어마을,0,0,0,0,0,0,0,0,0,0,0,0,40,44,12,53,64,101,55,33,42,21,44,15,25,33,47,48,34,42,22,18,21,24,18,14,7,19,10,10,7,8,4,13,4,7,5,1,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900140,21864,서울과학전시관,0,0,0,0,0,0,0,0,0,0,0,0,1,60,5,142,5,373,3,148,9,73,1,28,6,45,3,59,5,33,1,25,4,31,3,39,0,76,0,67,1,43,2,40,0,28,0,4,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900153,21882,호암교수회관,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,72,52,49,94,57,42,31,58,20,68,13,77,18,84,6,101,5,108,1,65,3,63,1,26,0,15,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900157,21887,가족생활동,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,48,201,46,279,64,201,58,221,66,209,49,238,25,288,77,309,16,354,16,291,11,277,7,139,4,76,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900159,21892,서울대후문.연구공원,0,2,0,0,0,0,0,0,0,0,0,0,0,6,6,18,0,35,3,20,2,41,161,242,184,423,238,419,217,390,172,352,122,402,110,489,152,522,55,571,26,623,26,959,19,418,28,211,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900161,21895,학부생활관,0,6,0,0,0,0,0,0,0,0,0,0,2,85,16,119,30,266,59,176,52,171,28,182,53,364,41,344,39,363,23,376,15,396,18,458,19,632,6,694,7,706,4,1157,2,665,3,347,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900162,21897,대학원생활관,0,6,0,0,0,0,0,0,0,0,0,0,2,82,8,100,37,416,68,371,124,342,92,375,122,466,112,541,59,511,27,565,28,503,21,523,15,662,14,740,12,773,14,1314,5,639,2,415,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900163,21899,기숙사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,11,87,16,207,191,836,301,1021,266,683,126,410,116,393,89,486,51,405,34,347,16,291,12,191,23,255,11,89,9,69,6,68,2,37,1,25,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900164,21904,제2파워플랜트,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,23,0,25,0,85,1,125,0,68,0,48,0,30,0,19,4,10,0,5,0,0,6,1,0,2,0,2,0,0,0,0,0,0,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900165,21905,건설환경종합연구소,0,0,0,0,0,0,0,0,0,0,0,0,2,53,0,32,2,69,2,296,5,768,15,468,15,195,20,98,28,73,14,33,3,7,8,6,4,2,0,2,0,3,0,2,0,0,0,0,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당,0,0,0,0,0,0,0,0,0,0,0,0,1,279,0,526,7,1798,35,2203,26,1367,19,913,11,857,7,929,8,811,10,554,7,350,26,217,81,142,1,96,3,55,1,46,1,20,11,8,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당,0,0,0,0,0,0,0,0,0,0,0,0,20,15,45,1,88,27,126,34,219,95,235,43,231,7,258,21,356,11,658,45,1217,581,1727,373,1711,101,735,42,911,24,935,91,439,92,232,79,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.영어마을,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,28,4,25,25,36,48,15,47,30,58,36,123,34,70,68,100,44,61,58,21,83,17,37,10,69,8,73,8,37,6,24,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900182,21765,인헌초등학교,0,0,0,0,0,0,0,0,0,0,0,0,6,25,41,38,68,85,38,102,18,108,26,174,14,254,25,194,23,215,12,243,8,259,16,451,7,883,4,460,6,175,7,146,7,145,0,143,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900183,21800,낙성대입구,0,0,0,0,0,0,0,0,0,0,0,0,225,49,219,26,952,54,893,32,539,26,300,32,405,22,379,37,363,17,284,47,225,37,216,52,262,84,325,83,367,39,479,71,101,48,64,24,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900184,21819,인헌초등학교,0,0,0,0,0,0,0,0,0,0,0,0,58,8,43,51,489,86,268,33,185,48,158,47,251,30,226,38,206,36,124,74,145,46,96,73,87,110,89,85,108,47,98,50,42,38,19,40,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,2,3,6,1,18,3,9,8,7,0,26,2,20,3,22,5,34,12,34,5,72,3,92,4,59,0,44,2,63,1,25,0,11,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관,0,2,0,0,0,0,0,0,0,0,0,0,62,437,116,988,853,2867,1148,1663,570,879,13,169,2,202,5,204,3,185,3,174,0,223,2,245,3,353,1,355,3,258,2,307,1,117,1,72,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900196,21574,학부생활관,0,0,0,0,0,0,0,0,0,0,0,0,56,10,163,25,320,174,409,56,306,18,453,20,610,28,592,42,513,31,476,28,529,29,744,44,661,109,290,63,117,61,132,48,109,32,48,21,20210203
202102,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소,0,0,0,0,0,0,0,0,0,0,0,0,1,46,1,48,0,253,12,410,4,225,6,141,6,127,20,74,23,52,39,35,24,22,26,34,47,26,7,11,8,16,16,6,2,4,0,1,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관,0,0,0,0,0,0,0,0,0,0,2,0,28,76,37,153,56,1075,98,1815,155,2258,335,1242,551,913,792,893,989,620,1321,441,1534,286,2073,212,2447,149,1244,107,890,68,824,75,818,42,480,9,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,제1공학관,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,1,4,0,11,5,23,8,37,1,46,1,71,0,73,3,92,1,154,0,345,1,347,2,248,0,124,1,103,1,79,0,50,0,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,16,0,17,2,47,6,67,1,113,4,84,6,122,5,174,4,336,7,953,12,1169,7,427,6,252,3,261,2,194,4,126,0,20210303
202102,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,24,0,12,0,18,3,51,2,67,0,85,10,140,3,177,5,258,5,323,4,524,4,214,0,112,0,41,0,38,1,12,1,20210303
