사용년월,노선ID,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자,교통수단타입코드,교통수단타입명,"?""사용년월"""
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900157,21887,가족생활동,3,51,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,6,0,0,4,15,150,313,86,593,99,359,100,310,83,339,104,334,59,381,103,269,31,412,21,401,22,311,7,291,17,189,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900159,21892,서울대후문.연구공원,0,92,0,0,0,0,0,0,0,0,0,0,0,45,0,63,3,84,6,44,11,57,104,274,91,664,85,355,141,434,151,306,71,245,48,295,88,277,24,414,33,382,17,400,4,408,6,355,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900161,21895,기숙사신관,1,417,0,0,0,0,0,0,0,0,1,0,9,323,9,289,52,341,316,269,127,341,52,387,87,574,47,555,42,614,32,592,26,622,15,770,153,954,50,1056,7,1009,13,1235,23,1684,3,1794,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900162,21897,기숙사구관,1,408,0,0,0,0,0,0,0,0,0,2,10,212,16,182,60,666,128,578,140,554,73,545,90,622,111,798,53,695,35,725,30,660,24,692,28,919,24,949,15,1051,16,1303,7,1742,5,1875,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900163,21899,기숙사삼거리,1,2,0,0,0,0,0,0,0,0,0,0,17,185,39,400,272,1989,576,2278,539,1450,161,1477,118,1139,94,1020,57,1115,42,739,27,493,29,437,43,503,31,244,14,143,12,123,4,70,2,54,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900164,21904,제2파워플랜트,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,27,1,33,1,68,1,105,1,58,0,26,3,15,3,18,1,6,3,5,2,8,6,2,0,1,1,1,0,0,0,1,0,0,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900165,21905,건설환경종합연구소,0,0,0,0,0,0,0,0,0,0,0,0,1,57,0,23,0,44,0,155,4,707,2,308,3,69,0,57,6,32,1,15,2,16,0,7,0,8,0,4,0,1,0,2,0,2,0,1,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당,0,0,0,0,0,0,0,0,0,0,0,0,0,152,2,735,19,3515,59,3979,40,2511,26,2019,22,1549,16,1469,40,1546,42,1004,31,646,24,461,136,384,14,311,12,136,6,59,4,47,40,17,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.영어마을,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,12,32,85,38,57,62,39,76,33,114,30,92,44,69,50,79,55,117,45,94,86,63,109,51,68,98,90,54,83,28,86,6,67,20180203,,,
201801.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900182,21765,인헌초등학교,0,0,0,0,0,0,0,0,0,0,0,0,5,15,33,52,148,188,108,133,41,125,37,299,23,268,19,270,25,255,29,277,29,340,36,874,31,1814,20,796,10,541,11,489,19,383,20,380,20180203,,,
