사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자
202302,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소(00017),0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,104,1,144,2,165,1,104,3,42,0,33,3,34,2,22,0,26,0,15,2,10,0,7,1,7,1,7,0,3,0,5,0,2,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소(00016),0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,176,6,453,2,532,6,266,1,101,2,105,3,109,4,73,1,57,6,42,1,19,2,28,1,19,0,18,0,15,0,11,0,2,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소(00018),0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,32,1,190,1,346,3,203,1,107,1,113,7,106,0,78,1,50,3,35,2,31,0,22,1,23,1,11,0,4,0,5,0,3,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소(00017),0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,92,1,607,0,885,2,553,2,269,6,258,9,279,12,212,5,164,5,105,10,68,3,62,1,29,0,37,1,16,0,19,1,12,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동(00029),0,0,0,0,0,0,0,0,0,0,0,0,74,3,234,13,259,61,195,19,216,15,166,14,138,17,210,18,196,14,261,15,326,32,372,45,522,49,222,30,115,22,115,24,52,23,48,13,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동(00031),0,0,0,0,0,0,0,0,0,0,0,0,27,0,64,5,76,14,60,2,53,3,48,8,50,12,55,5,67,6,82,2,90,16,146,12,142,12,59,9,40,6,37,8,15,8,12,3,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900009,21585,BK국제관(00030),0,0,0,0,0,0,0,0,0,0,0,0,39,0,49,8,105,11,141,9,168,12,211,7,223,17,224,13,206,13,204,18,296,31,370,26,328,25,186,19,119,20,80,15,87,19,29,10,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900009,21585,BK국제관(00028),0,0,0,0,0,0,0,0,0,0,0,0,133,7,243,22,423,49,406,25,418,14,539,22,524,36,507,35,501,28,485,28,676,56,795,54,765,78,406,92,225,52,174,53,196,58,71,28,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900027,21564,대학원생활관(00028),0,0,0,0,0,0,0,0,0,0,0,0,21,2,108,0,157,4,191,5,175,3,222,6,237,8,187,9,188,6,172,29,267,19,293,20,294,43,250,17,156,8,81,8,114,16,32,5,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900027,21564,대학원생활관(00026),0,0,0,0,0,0,0,0,0,0,0,0,104,4,377,3,481,15,584,10,540,5,616,7,732,5,537,4,505,7,517,10,603,16,716,30,677,66,380,55,329,45,178,32,138,43,80,23,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트(00033),0,0,0,0,0,0,0,0,0,0,2,0,33,0,104,1,142,2,92,4,67,3,60,5,44,17,62,9,55,10,37,9,46,16,37,25,23,37,19,17,17,8,8,10,1,14,2,8,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트(00031),0,0,0,0,0,0,0,0,0,0,3,0,124,0,299,7,422,6,318,9,206,8,154,16,140,30,180,35,130,24,96,23,91,38,110,54,57,81,49,48,49,41,12,44,5,29,11,35,30,서울마을버스,20230303
