사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자,"?""사용년월"""
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소(00016),0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,199,4,674,8,609,10,294,4,127,4,130,11,125,11,90,13,92,5,41,4,55,2,36,4,38,0,21,1,14,1,17,0,11,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소(00017),0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,40,0,186,0,162,6,94,2,50,1,42,9,52,2,22,4,27,3,13,1,12,0,10,1,9,0,6,0,5,0,3,0,7,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소(00017),0,0,0,0,0,0,0,0,0,0,0,0,12,125,9,161,3,609,9,1424,3,917,3,438,25,563,18,585,5,356,11,355,14,179,14,118,24,96,1,76,2,57,0,50,0,43,1,21,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소(00018),0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,35,0,159,6,389,6,260,2,141,3,144,2,207,1,105,4,124,2,59,6,43,4,43,1,15,0,15,0,10,1,9,0,0,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동(00031),0,0,0,0,0,0,0,0,0,0,0,0,20,0,64,7,104,7,75,10,47,7,45,4,38,7,50,9,47,8,71,8,90,10,101,6,100,6,60,6,33,3,23,10,13,7,6,2,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동(00029),0,0,0,0,0,0,0,0,0,0,0,0,81,2,228,28,374,34,227,19,166,14,174,15,161,28,152,14,196,25,298,36,367,43,338,40,384,47,168,23,82,29,92,32,37,33,39,16,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900009,21585,BK국제관(00030),0,0,0,0,0,0,0,0,0,0,0,0,31,2,67,15,135,9,133,7,122,10,156,11,170,14,162,11,199,15,209,20,279,30,333,25,294,25,145,30,87,15,81,22,76,24,30,14,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900009,21585,BK국제관(00028),0,0,0,0,0,0,0,0,0,0,0,0,101,2,261,25,497,16,379,30,397,33,575,46,553,28,593,44,598,66,661,66,976,51,1086,89,829,107,519,84,302,78,290,76,189,61,124,49,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900027,21564,대학원생활관(00026),0,0,0,0,0,0,0,0,0,0,0,0,90,2,212,7,425,20,516,12,497,12,625,11,741,26,612,29,624,12,624,33,807,30,1066,55,990,99,644,58,422,68,335,63,246,73,113,35,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900027,21564,대학원생활관(00028),0,0,0,0,0,0,0,0,0,0,0,0,15,0,41,0,94,2,105,8,76,4,72,0,102,3,80,3,88,2,114,7,147,16,220,5,220,12,130,22,110,16,83,11,71,20,15,10,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트(00031),0,0,0,0,0,0,0,0,0,0,4,0,184,1,419,13,599,17,267,5,186,17,132,19,128,27,123,22,106,32,91,64,88,50,85,65,66,107,42,69,22,56,20,71,6,71,4,23,30.0,서울마을버스,20221203,
