사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
202001,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,101,11,367,10,403,11,262,4,143,12,148,8,108,7,73,40,46,29,34,42,21,67,27,61,15,22,22,9,8,7,6,1,1,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관,0,0,0,0,0,0,0,0,0,0,1,1,54,96,22,267,52,1423,167,3167,212,3518,370,1455,491,1275,749,1123,955,697,1165,575,1224,325,2725,303,3840,249,1739,143,1214,75,1090,118,970,45,762,14,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,제1공학관,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,18,1,31,20,30,8,46,33,106,30,92,2,90,7,196,11,613,8,682,6,453,2,293,2,127,1,133,2,110,1,71,0,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,19,3,5,0,23,0,34,1,33,5,82,2,117,4,117,4,188,4,225,3,427,8,1663,26,1715,12,621,7,421,1,339,2,298,3,188,1,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,31,0,22,4,22,2,99,2,126,5,95,2,221,8,286,5,297,4,699,10,623,7,223,4,163,3,111,0,103,0,57,0,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,112,14,98,6,302,6,211,7,159,6,369,10,428,15,446,15,568,15,644,22,817,14,1285,41,1079,130,541,158,362,129,410,96,389,116,222,108,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120000186,21288,공동기기원,0,0,0,0,0,0,0,0,0,0,0,0,0,97,3,249,15,1351,33,1907,23,1296,13,580,12,462,18,391,15,280,16,217,16,95,31,108,4,86,10,54,1,31,1,28,6,25,3,8,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,349,14,979,9,942,6,419,4,144,7,159,3,154,5,103,7,98,1,60,3,48,1,47,2,34,2,21,9,22,7,14,0,3,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소,0,0,0,0,0,0,0,0,0,0,2,0,3,20,0,108,3,755,3,880,3,541,10,298,6,270,8,295,7,205,3,139,5,98,9,86,6,88,2,43,9,38,1,24,7,10,0,6,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동,0,0,0,0,0,0,0,0,0,0,0,0,90,3,190,9,333,51,310,44,202,18,195,13,189,41,212,26,248,32,359,29,453,40,645,79,649,82,179,54,124,16,121,20,139,32,65,13,20200203
202001,관악02,관악02(낙성대역~서울대신공학관),120900009,21585,BK국제관,0,0,0,0,0,0,0,0,0,0,0,0,160,8,296,8,532,62,560,53,414,31,609,23,587,38,657,31,648,51,533,44,737,55,1133,78,781,107,465,68,293,67,249,66,173,72,106,54,20200203
