사용일자,노선번호,노선명,버스정류장ARS번호,역명,승차총승객수,하차총승객수,등록일자
20180901,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,3653,188,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21800,낙성대입구,350,52,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21819,인헌초등학교,116,58,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21844,낙성대현대아파트,22,94,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21858,낙성대공원.영어마을,23,145,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21864,서울과학전시관,6,263,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,95,659,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,23,65,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21882,호암교수회관,29,60,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21887,가족생활동,31,171,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21892,서울대후문.연구공원,23,371,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21895,기숙사신관,23,712,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21897,기숙사구관,29,645,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21899,기숙사삼거리,41,248,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,12,461,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21288,공동기기원,3,204,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21289,유전공학연구소.반도체공동연구소,10,39,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21290,에너지자원연구소,4,65,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21274,신소재연구소,5,26,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21904,제2파워플랜트,0,46,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21905,건설환경종합연구소,0,152,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21275,제2공학관,588,306,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21276,제1공학관,44,4,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21277,유전공학연구소.반도체공동연구소,92,7,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21278,교수회관입구,188,5,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,456,7,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21279,관악사삼거리,271,17,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21564,기숙사구관,820,28,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21574,기숙사신관,733,22,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21585,BK국제관,315,16,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21595,가족생활동,161,21,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,15,42,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,125,36,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21689,서울과학전시관,667,24,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21738,낙성대공원.영어마을,110,26,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21752,낙성대현대아파트,28,41,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21765,인헌초등학교,31,176,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21771,낙성대입구,10,577,20180904
20180901,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,695,3360,20180904
20180902,관악02,관악02(낙성대역~서울대신공학관),21897,기숙사구관,27,721,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21895,기숙사신관,13,1027,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21800,낙성대입구,227,38,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,3282,54,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21858,낙성대공원.영어마을,31,106,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21819,인헌초등학교,129,48,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21844,낙성대현대아파트,23,56,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,22,46,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21864,서울과학전시관,10,28,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,36,235,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21892,서울대후문.연구공원,24,282,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21882,호암교수회관,11,35,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21887,가족생활동,14,114,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21574,기숙사신관,731,15,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21905,건설환경종합연구소,3,285,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21289,유전공학연구소.반도체공동연구소,0,25,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,8,314,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21288,공동기기원,1,128,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21274,신소재연구소,9,40,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21290,에너지자원연구소,5,46,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21899,기숙사삼거리,15,162,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21279,관악사삼거리,178,20,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21276,제1공학관,31,0,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21904,제2파워플랜트,1,45,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21275,제2공학관,558,280,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,308,7,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21277,유전공학연구소.반도체공동연구소,78,3,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21278,교수회관입구,177,7,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21765,인헌초등학교,15,219,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21689,서울과학전시관,200,14,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21595,가족생활동,84,10,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,98,18,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,9,14,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21738,낙성대공원.영어마을,103,57,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21752,낙성대현대아파트,20,53,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21771,낙성대입구,5,305,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,403,2608,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21585,BK국제관,167,12,20180905
20180902,관악02,관악02(낙성대역~서울대신공학관),21564,기숙사구관,710,19,20180905
20180903,관악02,관악02(낙성대역~서울대신공학관),21585,BK국제관,218,30,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21574,기숙사신관,342,52,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21564,기숙사구관,352,64,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21897,기숙사구관,33,552,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21858,낙성대공원.영어마을,40,69,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21800,낙성대입구,368,58,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,4148,112,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21819,인헌초등학교,147,78,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21844,낙성대현대아파트,62,88,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21895,기숙사신관,45,517,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,188,523,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21864,서울과학전시관,2,96,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21892,서울대후문.연구공원,46,175,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,32,78,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21882,호암교수회관,37,67,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21279,관악사삼거리,528,50,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21274,신소재연구소,10,72,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21288,공동기기원,13,232,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21899,기숙사삼거리,73,977,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,34,1096,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21887,가족생활동,34,124,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21289,유전공학연구소.반도체공동연구소,7,158,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21290,에너지자원연구소,2,211,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,1290,71,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21275,제2공학관,1288,775,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21905,건설환경종합연구소,0,27,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21904,제2파워플랜트,0,6,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21278,교수회관입구,115,3,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21276,제1공학관,85,0,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21277,유전공학연구소.반도체공동연구소,298,11,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,144,57,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21595,가족생활동,177,45,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,3,67,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21752,낙성대현대아파트,48,113,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21689,서울과학전시관,268,31,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21738,낙성대공원.영어마을,70,63,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,1018,3349,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21765,인헌초등학교,31,407,20180906
20180903,관악02,관악02(낙성대역~서울대신공학관),21771,낙성대입구,6,582,20180906
20180904,관악02,관악02(낙성대역~서울대신공학관),21689,서울과학전시관,262,24,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,159,53,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21595,가족생활동,177,19,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21574,기숙사신관,367,41,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21564,기숙사구관,488,68,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21279,관악사삼거리,474,36,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21892,서울대후문.연구공원,47,158,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,4657,220,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21887,가족생활동,39,130,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21819,인헌초등학교,193,67,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21800,낙성대입구,404,50,20180907
20180904,관악02,관악02(낙성대역~서울대신공학관),21844,낙성대현대아파트,58,100,20180907
