사용일자,노선번호,노선명,버스정류장ARS번호,역명,승차총승객수,하차총승객수,등록일자
20190101,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,3025,30,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21800,낙성대입구,295,47,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21819,인헌초등학교,177,36,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21844,낙성대현대아파트,28,43,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21858,낙성대공원.영어마을,24,51,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21864,서울과학전시관,2,43,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,46,257,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,17,52,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21882,호암교수회관,19,38,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21887,가족생활동,25,178,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21892,서울대후문.연구공원,57,545,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21895,학부생활관,32,1061,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21897,대학원생활관,32,757,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21899,기숙사삼거리,31,200,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,5,298,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21288,공동기기원,2,156,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21289,유전공학연구소.반도체공동연구소,2,48,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21290,에너지자원연구소,2,60,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21274,신소재연구소,8,41,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21904,제2파워플랜트,0,32,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21905,건설환경종합연구소,3,208,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21275,제2공학관,450,217,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21276,제1공학관,30,0,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21277,유전공학연구소.반도체공동연구소,50,2,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21278,교수회관입구,143,1,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,341,65,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21279,관악사삼거리,169,21,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21564,대학원생활관,834,28,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21574,학부생활관,767,19,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21585,BK국제관,598,29,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21595,가족생활동,85,11,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,6,21,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,127,17,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21689,서울과학전시관,167,9,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21738,낙성대공원.영어마을,43,28,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21752,낙성대현대아파트,28,64,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21765,인헌초등학교,13,313,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21771,낙성대입구,5,436,20190904
20190101,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,782,2683,20190904
20190102,관악02,관악02(낙성대역~서울대신공학관),21752,낙성대현대아파트,43,97,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,1199,44,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21858,낙성대공원.영어마을,39,84,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,4046,137,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21844,낙성대현대아파트,61,98,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21800,낙성대입구,484,136,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21819,인헌초등학교,179,78,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21738,낙성대공원.영어마을,90,61,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21274,신소재연구소,37,102,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21895,학부생활관,45,550,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,41,77,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21864,서울과학전시관,7,74,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,267,460,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21887,가족생활동,51,157,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21882,호암교수회관,21,60,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21892,서울대후문.연구공원,129,325,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,41,1144,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21897,대학원생활관,36,682,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21899,기숙사삼거리,73,1040,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21290,에너지자원연구소,5,206,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21288,공동기기원,16,238,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21289,유전공학연구소.반도체공동연구소,6,142,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21689,서울과학전시관,266,21,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21278,교수회관입구,109,2,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21275,제2공학관,1130,921,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21905,건설환경종합연구소,3,38,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21904,제2파워플랜트,1,17,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21276,제1공학관,162,4,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21277,유전공학연구소.반도체공동연구소,269,4,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,157,52,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21574,학부생활관,365,55,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21279,관악사삼거리,526,37,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21564,대학원생활관,474,45,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,4,69,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21585,BK국제관,375,69,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21595,가족생활동,168,22,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,1290,3358,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21765,인헌초등학교,28,404,20190905
20190102,관악02,관악02(낙성대역~서울대신공학관),21771,낙성대입구,9,680,20190905
20190103,관악02,관악02(낙성대역~서울대신공학관),21275,제2공학관,1087,819,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,257,506,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,4013,185,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21864,서울과학전시관,4,115,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21844,낙성대현대아파트,75,80,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21800,낙성대입구,469,70,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21819,인헌초등학교,200,66,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21858,낙성대공원.영어마을,54,86,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21899,기숙사삼거리,77,1049,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21887,가족생활동,35,185,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,29,77,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21882,호암교수회관,26,65,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21897,대학원생활관,30,607,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21892,서울대후문.연구공원,96,290,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21895,학부생활관,81,579,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21905,건설환경종합연구소,0,41,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,43,1084,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21288,공동기기원,12,239,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21289,유전공학연구소.반도체공동연구소,3,168,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21904,제2파워플랜트,0,19,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21290,에너지자원연구소,23,233,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21274,신소재연구소,28,93,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21574,학부생활관,392,59,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21278,교수회관입구,136,2,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21276,제1공학관,157,1,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21277,유전공학연구소.반도체공동연구소,250,7,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21564,대학원생활관,426,34,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,1163,42,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21279,관악사삼거리,568,52,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21752,낙성대현대아파트,38,130,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,150,44,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21585,BK국제관,376,71,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21595,가족생활동,178,23,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,10,57,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21689,서울과학전시관,269,20,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21738,낙성대공원.영어마을,70,57,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21771,낙성대입구,8,612,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,1288,3386,20190906
20190103,관악02,관악02(낙성대역~서울대신공학관),21765,인헌초등학교,30,412,20190906
20190104,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,104,1100,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21289,유전공학연구소.반도체공동연구소,9,145,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21288,공동기기원,16,197,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21899,기숙사삼거리,77,1007,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21897,대학원생활관,36,651,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21844,낙성대현대아파트,66,80,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21819,인헌초등학교,210,69,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,3807,221,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21800,낙성대입구,516,137,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21895,학부생활관,57,493,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,289,536,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21858,낙성대공원.영어마을,50,102,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21892,서울대후문.연구공원,100,247,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,38,76,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21887,가족생활동,37,168,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21595,가족생활동,155,35,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21275,제2공학관,1215,834,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21274,신소재연구소,29,95,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21290,에너지자원연구소,2,202,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21882,호암교수회관,23,51,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21864,서울과학전시관,2,285,20190907
20190104,관악02,관악02(낙성대역~서울대신공학관),21904,제2파워플랜트,0,7,20190907
