사용일자,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,승차총승객수,하차총승객수,등록일자
20220901,관악02,관악02(낙성대역~서울대신공학관),120000172.0,21274,신소재연구소(00019),19,106,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120000173.0,21275,제2공학관(00022),1008,838,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120000174.0,21276,제1공학관(00023),224,2,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120000175.0,21277,유전공학연구소.반도체공동연구소(00024),314,6,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120000176.0,21278,교수회관입구(00025),112,10,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120000186.0,21288,공동기기원(00016),1,24,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120000187.0,21289,유전공학연구소.반도체공동연구소(00017),4,170,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120000188.0,21290,에너지자원연구소(00018),12,314,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900003.0,21595,가족생활동(00031),61,7,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900009.0,21585,BK국제관(00030),142,17,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900090.0,21663,인헌아파트(00033),48,13,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900090.0,21663,인헌아파트(00008),26,63,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900095.0,21689,서울과학전시관(00034),78,6,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900102.0,21752,낙성대현대아파트(00036),12,35,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900110.0,21771,낙성대입구(00038),7,263,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900119.0,21785,낙성대역(00001),2077,70,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900119.0,21785,낙성대역(00039),618,1049,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900131.0,21844,낙성대현대아파트(00004),75,75,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900136.0,21858,낙성대공원.영어마을(00005),25,51,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900140.0,21864,서울과학전시관(00006),6,62,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900153.0,21882,교수아파트(00009),14,36,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900157.0,21887,가족생활동(00010),32,119,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900159.0,21892,서울대후문.연구공원(00011),137,270,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900161.0,21895,학부생활관(00012),90,422,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900162.0,21897,대학원생활관(00013),49,577,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900163.0,21899,기숙사삼거리(00014),80,1108,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900164.0,21904,제2파워플랜트(00020),4,17,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900165.0,21905,건설환경종합연구소(00021),4,96,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900172.0,21915,노천강당(00015),13,380,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900172.0,21915,노천강당(00026),5142,4095,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900181.0,21738,낙성대공원.영어마을(00035),24,12,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900182.0,21765,인헌초등학교(00037),6,120,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900183.0,21800,낙성대입구(00002),351,32,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900184.0,21819,인헌초등학교(00003),152,40,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900185.0,21870,호암교수회관(00032),0,19,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900185.0,21870,호암교수회관(00007),273,429,20220904
20220901,관악02,관악02(낙성대역~서울대신공학관),120900196.0,21574,학부생활관(00029),3,7,20220904
20220902,관악02,관악02(낙성대역~서울대신공학관),120900153.0,21882,교수아파트(00009),14,55,20220905
20220902,관악02,관악02(낙성대역~서울대신공학관),120900140.0,21864,서울과학전시관(00006),8,61,20220905
20220902,관악02,관악02(낙성대역~서울대신공학관),120000188.0,21290,에너지자원연구소(00018),8,289,20220905
20220902,관악02,관악02(낙성대역~서울대신공학관),120000173.0,21275,제2공학관(00022),670,512,20220905
20220902,관악02,관악02(낙성대역~서울대신공학관),120000172.0,21274,신소재연구소(00019),17,120,20220905
20220902,관악02,관악02(낙성대역~서울대신공학관),120000174.0,21276,제1공학관(00023),166,2,20220905
20220902,관악02,관악02(낙성대역~서울대신공학관),120000175.0,21277,유전공학연구소.반도체공동연구소(00024),311,5,20220905
