사용일자,노선번호,노선명,버스정류장ARS번호,역명,승차총승객수,하차총승객수,등록일자
20170101,관악02,관악02(낙성대역~서울대신공학관),21785,낙성대역,1463,37,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21800,낙성대입구,138,30,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21819,인헌초등학교,69,25,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21844,낙성대현대아파트,12,12,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21858,낙성대공원.영어마을,6,12,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21864,서울과학전시관,2,37,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21870,호암교수회관,21,135,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21663,인헌아파트,8,39,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21882,호암교수회관,8,29,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21887,가족생활동,9,79,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21892,서울대후문.연구공원,10,155,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21895,기숙사신관,14,602,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21897,기숙사구관,12,631,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21899,기숙사삼거리,9,98,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21915,노천강당,1,169,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21288,공동기기원,0,57,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21289,유전공학연구소.반도체공동연구소,0,18,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21290,에너지자원연구소,0,26,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21274,신소재연구소,2,12,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21904,제2파워플랜트,1,33,20170109
20170101,관악02,관악02(낙성대역~서울대신공학관),21905,건설환경종합연구소,15,145,20170109
